ds,y,is_promo,is_holiday
2023-01-01,151,0,1
2023-01-02,86,0,0
2023-01-03,85,0,0
2023-01-04,90,0,0
2023-01-05,94,0,0
2023-01-06,108,0,0
2023-01-07,169,1,0
2023-01-08,152,1,0
2023-01-09,142,1,0
2023-01-10,127,1,0
2023-01-11,122,1,0
2023-01-12,117,0,0
2023-01-13,95,0,0
2023-01-14,148,0,0
2023-01-15,129,0,0
2023-01-16,82,0,0
2023-01-17,109,0,0
2023-01-18,101,0,0
2023-01-19,92,0,0
2023-01-20,108,0,0
2023-01-21,144,0,0
2023-01-22,114,0,0
2023-01-23,82,0,0
2023-01-24,94,0,0
2023-01-25,93,0,0
2023-01-26,100,0,0
2023-01-27,123,0,0
2023-01-28,155,0,0
2023-01-29,134,0,0
2023-01-30,99,0,0
2023-01-31,91,0,0
2023-02-01,116,0,0
2023-02-02,112,0,0
2023-02-03,160,0,0
2023-02-04,147,0,0
2023-02-05,149,0,0
2023-02-06,110,0,0
2023-02-07,106,0,0
2023-02-08,88,0,0
2023-02-09,115,0,0
2023-02-10,122,0,0
2023-02-11,141,0,0
2023-02-12,132,0,0
2023-02-13,105,0,0
2023-02-14,90,0,0
2023-02-15,100,0,0
2023-02-16,121,0,0
2023-02-17,144,0,0
2023-02-18,160,0,0
2023-02-19,139,0,0
2023-02-20,155,1,0
2023-02-21,151,1,0
2023-02-22,147,1,0
2023-02-23,163,1,0
2023-02-24,172,1,0
2023-02-25,146,0,0
2023-02-26,156,0,0
2023-02-27,132,0,0
2023-02-28,98,0,0
2023-03-01,126,0,0
2023-03-02,94,0,0
2023-03-03,157,0,0
2023-03-04,149,0,0
2023-03-05,155,0,0
2023-03-06,114,0,0
2023-03-07,126,0,0
2023-03-08,106,0,0
2023-03-09,120,0,0
2023-03-10,148,0,0
2023-03-11,176,0,0
2023-03-12,172,0,0
2023-03-13,133,0,0
2023-03-14,130,0,0
2023-03-15,150,1,0
2023-03-16,146,1,0
2023-03-17,191,1,0
2023-03-18,206,1,0
2023-03-19,197,1,0
2023-03-20,139,0,0
2023-03-21,135,0,0
2023-03-22,114,0,0
2023-03-23,143,0,0
2023-03-24,157,0,0
2023-03-25,162,0,0
2023-03-26,154,0,0
2023-03-27,118,0,0
2023-03-28,131,0,0
2023-03-29,145,0,0
2023-03-30,133,0,0
2023-03-31,152,0,0
2023-04-01,175,0,0
2023-04-02,169,0,0
2023-04-03,123,0,0
2023-04-04,128,0,0
2023-04-05,142,0,0
2023-04-06,126,0,0
2023-04-07,190,0,0
2023-04-08,181,0,0
2023-04-09,157,0,0
2023-04-10,134,0,0
2023-04-11,174,1,0
2023-04-12,173,1,0
2023-04-13,155,1,0
2023-04-14,221,1,0
2023-04-15,222,1,0
2023-04-16,172,0,0
2023-04-17,158,0,0
2023-04-18,136,0,0
2023-04-19,140,0,0
2023-04-20,155,0,0
2023-04-21,175,0,0
2023-04-22,195,0,0
2023-04-23,176,0,0
2023-04-24,149,0,0
2023-04-25,170,0,0
2023-04-26,166,0,0
2023-04-27,124,0,0
2023-04-28,197,0,0
